Category,Caliber,Product,Description,Cost,RoundsPerBox,Usage,CostPerRound
Rifle,300 Winchester Magnum,300 Winchester Magnum - 212gn ELD-x,212gn ELD-x,60.00,20,Hunting,3.00
Rifle,8mm Mauser,8mm Mauser - 140gn Interlock Soft Point -(PSP),140gn Interlock Soft Point -(PSP),50.00,20,Hunting,2.50
Rifle,350 Legend,350 Legend - 115gn Extreme Penetrator,115gn Extreme Penetrator,55.00,20,Hunting,2.75
Rifle,350 Legend,350 Legend - 165gn Hollow Point,165gn Hollow Point,35.00,20,Hunting,1.75
Rifle,350 Legend,350 Legend - 165gn FTX,165gn FTX,35.00,20,Hunting,1.75
Rifle,338 Lapua Magnum,338 Lapua Magnum - 225gn SST,225gn SST,85.00,20,Hunting,4.25
Rifle,338 Lapua Magnum,338 Lapua Magnum - 250gn Nosler Ballistic Tip,250gn Nosler Ballistic Tip,90.00,20,Hunting,4.50
Rifle,450 Bushmaster,450 Bushmaster - 250gn FTX,250gn FTX,45.00,20,Hunting,2.25
Rifle,450 Bushmaster,450 Bushmaster - 250gn Hollow Point,250gn Hollow Point,45.00,20,Hunting,2.25
Rifle,450 Bushmaster,450 Bushmaster - 300gn XTP,300gn XTP,50.00,20,Hunting,2.50
Rifle,44 Magnum Rifle,44 Magnum Rifle - 160gn Extreme Penetrator,160gn Extreme Penetrator,50.00,20,Hunting,2.50
Rifle,44 Magnum Rifle,44 Magnum Rifle - 180gn XTP,180gn XTP,40.00,20,Hunting,2.00
Rifle,44 Magnum Rifle,44 Magnum Rifle - 200gn XTP,200gn XTP,40.00,20,Hunting,2.00
Rifle,44 Magnum Rifle,44 Magnum Rifle - 225gn FTX,225gn FTX,45.00,20,Hunting,2.25
Rifle,44 Magnum Rifle,44 Magnum Rifle - 225gn FTX - (non tipped),225gn FTX - (non tipped),45.00,20,Hunting,2.25
Rifle,45-70 Government,45-70 Government - 300gn Hollow Point,300gn Hollow Point,45.00,20,Hunting,2.25
Rifle,45-70 Government,45-70 Government - 325gn FTX (non tipped),325gn FTX (non tipped),45.00,20,Hunting,2.25
Rifle,45-70 Government,45-70 Government - 325gn FTX,325gn FTX,45.00,20,Hunting,2.25
